,Country,Center,Type,Region,Lat,Long,Location_des
56,Liberia,Gbonota Clinic,Clinic,Bong,7.108716364,-9.781772038,"Gbonota Clinic, Bong"
57,Liberia,Kelebei Clinic,,Bong,7.0136646129999995,-10.09275912,"Kelebei Clinic, Bong"
58,Liberia,Sanoyea Clinic,Clinic,Bong,6.974384731000001,-9.981692218,"Sanoyea Clinic, Bong"
59,Liberia,Fenutoli,Clinic,Bong,6.6790899999999995,-9.69132,"Fenutoli, Bong"
60,Liberia,Gbartala Clinic,Clinic,Bong,6.890260369,-9.673339927,"Gbartala Clinic, Bong"
61,Liberia,Gbartuah Clinic,,Bong,7.786053493,-9.511802859,"Gbartuah Clinic, Bong"
62,Liberia,Phebe Hospital,Hospital,Bong,6.6748,-9.5773,"Phebe Hospital, Bong"
63,Liberia,Phebe  OPD,Clinic,Bong,7.02813,-9.55407,"Phebe  OPD, Bong"
64,Liberia,Ebola Treatment Unit,,Bong,7.005653345,-9.554723702,"Ebola Treatment Unit, Bong"
65,Liberia,Gbanla Community,Clinic,Bong,7.005039999999999,-9.74837,"Gbanla Community, Bong"
66,Liberia,Zeansue Clinic,Clinic,Bong,6.88117471,-9.760577044,"Zeansue Clinic, Bong"
67,Liberia,Bong County ETC,,Bong,6.962219500000001,-9.7134459,"Bong County ETC, Bong"
68,Liberia,Rock Crusher Clinic,,Bong,6.509638807000001,-9.508756341,"Rock Crusher Clinic, Bong"
69,Liberia,Belefanai Clinic,Clinic,Bong,7.262580000000001,-9.43608,"Belefanai Clinic, Bong"
70,Liberia,Botota Clinic,Clinic,Bong,6.65331331,-9.376816285,"Botota Clinic, Bong"
71,Liberia,Gbalatuah,Clinic,Bong,7.312189999999999,-9.51117,"Gbalatuah, Bong"
72,Liberia,Gbansuesuloma,Clinic,Bong,7.2346,-9.615680000000001,"Gbansuesuloma, Bong"
73,Liberia,Bar Ta Clinic,Clinic,Bong,6.710810507000001,-9.295426703,"Bar Ta Clinic, Bong"
74,Liberia,Naama,Clinic,Bong,7.25802,-9.35202,"Naama, Bong"
75,Liberia,Shankpalai Clinic,,Bong,7.368504794,-9.33525813,"Shankpalai Clinic, Bong"
76,Liberia,Belle Baloma Clinic,,Gbarpolu,7.567459079,-9.971741919,"Belle Baloma Clinic, Gbarpolu"
77,Liberia,Fassama Clinic,Clinic,Gbarpolu,7.519487118,-9.987948087000001,"Fassama Clinic, Gbarpolu"
78,Liberia,Bellekpalunu Clinic,,Gbarpolu,7.157089577000001,-10.24250467,"Bellekpalunu Clinic, Gbarpolu"
79,Liberia,Gbangay,Clinic,Gbarpolu,7.1847199999999996,-10.308539999999999,"Gbangay, Gbarpolu"
80,Liberia,Gumgbeta Clinic,,Gbarpolu,7.257855131,-10.09514999,"Gumgbeta Clinic, Gbarpolu"
81,Liberia,Bopolu City Clinic,Clinic,Gbarpolu,7.06864917,-10.48668718,"Bopolu City Clinic, Gbarpolu"
82,Liberia,Chief Jallah Lone Medical Center,Hospital,Gbarpolu,7.0656,-10.48956,"Chief Jallah Lone Medical Center, Gbarpolu"
83,Liberia,Gbaayama Clinic,Clinic,Gbarpolu,7.066217999999999,-10.490959,"Gbaayama Clinic, Gbarpolu"
84,Liberia,Henry Town Clinic,Clinic,Gbarpolu,7.2652399999999995,-10.35247,"Henry Town Clinic, Gbarpolu"
85,Liberia,Small Henry Clinic,,Gbarpolu,7.877817642,-10.53204952,"Small Henry Clinic, Gbarpolu"
86,Liberia,Gokanla Clinic,Clinic,Gbarpolu,6.930709571,-10.63465704,"Gokanla Clinic, Gbarpolu"
87,Liberia,Gbaryamah,Clinic,Gbarpolu,7.0218,-10.62696,"Gbaryamah, Gbarpolu"
88,Liberia,Bambuta Clinic,Clinic,Gbarpolu,6.9549199999999995,-10.545819999999999,"Bambuta Clinic, Gbarpolu"
89,Liberia,Totaquelleh Clinic,Clinic,Gbarpolu,7.066218936,-10.39525146,"Totaquelleh Clinic, Gbarpolu"
90,Liberia,Gbarma Town Community Clinic,Clinic,Gbarpolu,6.995254445,-10.7887262,"Gbarma Town Community Clinic, Gbarpolu"
91,Liberia,Tarpoima Clinic,,Gbarpolu,7.171086247000001,-10.6762406,"Tarpoima Clinic, Gbarpolu"
92,Liberia,Weasua Clinic,Clinic,Gbarpolu,7.316279957999999,-10.53006083,"Weasua Clinic, Gbarpolu"
93,Liberia,Yangaya Clinic,Clinic,Gbarpolu,7.1106,-10.76018,"Yangaya Clinic, Gbarpolu"
94,Liberia,Yomo Town,Clinic,Gbarpolu,6.94755,-10.765089999999999,"Yomo Town, Gbarpolu"
95,Liberia,Yomo Town Clinic,Clinic,Gbarpolu,6.951946699,-10.76413062,"Yomo Town Clinic, Gbarpolu"
96,Liberia,Kpayeakwelle Clinic,Public Clinic,Gbarpolu,7.139622725,-9.985300357,"Kpayeakwelle Clinic, Gbarpolu"
97,Liberia,Gbalyamah Clinic,Public Clinic,Gbarpolu,7.135952079,-10.00974126,"Gbalyamah Clinic, Gbarpolu"
98,Liberia,Kungbor Clinic,Clinic,Gbarpolu,7.64716,-10.57585,"Kungbor Clinic, Gbarpolu"
99,Liberia,Zuie Clinic,,Gbarpolu,7.65923703,-10.46055739,"Zuie Clinic, Gbarpolu"
100,Liberia,SATMH - Mittal Steel,Hospital,Grand Bassa,5.87101,-10.02755,"SATMH - Mittal Steel, Grand Bassa"
101,Liberia,ACFI Clinic,Clinic,Grand Bassa,5.896594167999999,-10.02422926,"ACFI Clinic, Grand Bassa"
102,Liberia,ArcelorMittal Hospital,,Grand Bassa,5.863308381,-10.03430258,"ArcelorMittal Hospital, Grand Bassa"
103,Liberia,Christian Extension Ministry,Clinic,Grand Bassa,5.8791199999999995,-10.04224,"Christian Extension Ministry, Grand Bassa"
104,Liberia,Joriam,Clinic,Grand Bassa,5.88095,-10.04915,"Joriam, Grand Bassa"
105,Liberia,Liberian Government Hospital,Hospital,Grand Bassa,5.88373945,-10.03991336,"Liberian Government Hospital, Grand Bassa"
106,Liberia,St. Peter Claver Catholic Health Center,Health Center,Grand Bassa,5.876878649,-10.04247487,"St. Peter Claver Catholic Health Center, Grand Bassa"
107,Liberia,Well Baby,Clinic,Grand Bassa,5.88531,-10.034189999999999,"Well Baby, Grand Bassa"
108,Liberia,World Wide Clinic (CEM Center Clinic),,Grand Bassa,5.895552907000001,-10.02972832,"World Wide Clinic (CEM Center Clinic), Grand Bassa"
109,Liberia,"UNMIL Clinic, Buchanan",,Grand Bassa,5.863308381,-10.03430258,"UNMIL Clinic, Buchanan, Grand Bassa"
110,Liberia,Edina,Clinic,Grand Bassa,5.924869999999999,-10.0762,"Edina, Grand Bassa"
111,Liberia,Little Bassa,Clinic,Grand Bassa,6.033882714,-10.21531657,"Little Bassa, Grand Bassa"
112,Liberia,Lloydsville (Clinic),Clinic,Grand Bassa,6.11825,-10.13155,"Lloydsville (Clinic), Grand Bassa"
113,Liberia,Loyd Ville Town,,Grand Bassa,6.120904491,-10.12515111,"Loyd Ville Town, Grand Bassa"
114,Liberia,Jacob Lateh,Clinic,Grand Bassa,6.44338,-10.23,"Jacob Lateh, Grand Bassa"
115,Liberia,Compound 2,Clinic,Grand Bassa,6.21586,-9.916269999999999,"Compound 2, Grand Bassa"
116,Liberia,Senyah Community,Clinic,Grand Bassa,6.34486,-9.843,"Senyah Community, Grand Bassa"
117,Liberia,Barssegiah Town,Clinic,Grand Bassa,6.336993877,-9.636517634,"Barssegiah Town, Grand Bassa"
118,Liberia,Glay Town,,Grand Bassa,6.172220685,-9.745679951,"Glay Town, Grand Bassa"
119,Liberia,Brenda King Clinic,Clinic,Grand Bassa,5.89345,-10.02167,"Brenda King Clinic, Grand Bassa"
120,Liberia,"Mittal Steel Hospital,",Hospital,Grand Bassa,5.871499,-10.027783,"Mittal Steel Hospital,, Grand Bassa"
121,Liberia,SATMH - Mittal Steel Hosp,Hospital,Grand Bassa,5.871499,-10.027783,"SATMH - Mittal Steel Hosp, Grand Bassa"
122,Liberia,Compound 3 Clinic,Clinic,Grand Bassa,6.149498235,-9.78983313,"Compound 3 Clinic, Grand Bassa"
123,Liberia,YOU & ME Clinic,,Grand Bassa,5.859673125,-9.941497922,"YOU & ME Clinic, Grand Bassa"
124,Liberia,Desoe Town Clinic,Clinic,Grand Bassa,6.5159199999999995,-9.39252,"Desoe Town Clinic, Grand Bassa"
125,Liberia,Liberian Agriculture Company (LAC) Hospital,Hospital,Grand Bassa,6.088696892000001,-9.737223148,"Liberian Agriculture Company (LAC) Hospital, Grand Bassa"
126,Liberia,Zammie Clinic,Clinic,Grand Bassa,6.351538,-9.788089,"Zammie Clinic, Grand Bassa"
127,Liberia,Mission Camp (LAC),,Grand Bassa,6.003029292000001,-9.774359282999999,"Mission Camp (LAC), Grand Bassa"
128,Liberia,Compound 3,,Grand Bassa,6.172180709,-9.773697738,"Compound 3, Grand Bassa"
129,Liberia,Tubmanville Clinic,,Grand Bassa,6.007440406000001,-9.900414042000001,"Tubmanville Clinic, Grand Bassa"
130,Liberia,Sue Clinic,Clinic,Grand Bassa,6.56151,-9.21505,"Sue Clinic, Grand Bassa"
131,Liberia,Boeglay Town,Clinic,Grand Bassa,6.17212,-9.74643,"Boeglay Town, Grand Bassa"
132,Liberia,Garduor,Clinic,Grand Bassa,6.4212,-9.45952,"Garduor, Grand Bassa"
133,Liberia,Gleabo,,Grand Bassa,5.704449834,-9.829033228,"Gleabo, Grand Bassa"
134,Liberia,Compound 4,Clinic,Grand Bassa,5.9096400000000004,-9.71032,"Compound 4, Grand Bassa"
135,Liberia,Foster Town,Clinic,Grand Bassa,5.76089,-9.71904,"Foster Town, Grand Bassa"
136,Liberia,Little Kola (Clinic),Clinic,Grand Bassa,5.70366,-9.828669999999999,"Little Kola (Clinic), Grand Bassa"
137,Liberia,Joe Pue Town,,Grand Bassa,5.834688125,-9.840061155,"Joe Pue Town, Grand Bassa"
138,Liberia,Nyombern Town,,Grand Bassa,5.762484716,-9.723451162,"Nyombern Town, Grand Bassa"
139,Liberia,New-Cess Community Clinic,Clinic,Grand Bassa,5.82276,-9.90938,"New-Cess Community Clinic, Grand Bassa"
140,Liberia,Palm Bay Clinic,,Grand Bassa,5.824703909,-9.83266706,"Palm Bay Clinic, Grand Bassa"
141,Liberia,Bruskin Farm Village,,Grand Bassa,5.85352434,-9.940349552,"Bruskin Farm Village, Grand Bassa"
142,Liberia,"Camphor Mission Clinic, George Z. Dean Memorial Clinic",Clinic,Grand Bassa,5.9171,-9.91629,"Camphor Mission Clinic, George Z. Dean Memorial Clinic, Grand Bassa"
143,Liberia,John Wleh Town,,Grand Bassa,6.010976347000001,-9.900862567999999,"John Wleh Town, Grand Bassa"
144,Liberia,Moncre Town,,Grand Bassa,6.0046432229999995,-9.901755646,"Moncre Town, Grand Bassa"
145,Liberia,Fortsville Town Clinic,,Grand Bassa,6.043880141,-10.01527788,"Fortsville Town Clinic, Grand Bassa"
146,Liberia,SOS Children Clinic,,Grand Bassa,6.138329856,-9.979723524,"SOS Children Clinic, Grand Bassa"
147,Liberia,St. John Clinic,Clinic,Grand Bassa,6.040223445,-10.01664441,"St. John Clinic, Grand Bassa"
148,Liberia,Thelmas Zeon Memorial Clinic,,Grand Bassa,5.869765949,-9.95840576,"Thelmas Zeon Memorial Clinic, Grand Bassa"
149,Liberia,Bokay Town,Clinic,Grand Bassa,6.2119223329999995,-10.27175087,"Bokay Town, Grand Bassa"
150,Liberia,Doewein Town,,Grand Bassa,6.18932311,-10.26717827,"Doewein Town, Grand Bassa"
151,Liberia,Owensgrove,Clinic,Grand Bassa,6.27006,-10.32474,"Owensgrove, Grand Bassa"
